Flight_Date,Year,Month,Month_Name,Year_Month,Airport_ICAO,Airport_Name,Country,IFR_Departures,Total_Delay_Minutes
2020-01-03,2020,1,January,2020-01,LFBO,Toulouse-Blagnac,France,117.0,1253.0
2020-01-03,2020,1,January,2020-01,LFLL,Lyon-Saint-Exupéry,France,141.0,1335.0
2020-01-03,2020,1,January,2020-01,LFML,Marseille-Provence,France,128.0,1545.0
2020-01-03,2020,1,January,2020-01,LFMN,Nice-Côte d’Azur,France,158.0,1483.0
2020-01-03,2020,1,January,2020-01,LFPG,Paris - Charles-de-Gaulle,France,683.0,7707.0
2020-01-03,2020,1,January,2020-01,LFPO,Paris - Orly,France,308.0,5023.0
2020-01-03,2020,1,January,2020-01,LFSB,Bâle-Mulhouse,France,111.0,852.0
2020-01-03,2020,1,January,2020-01,LGAV,Athens,Greece,254.0,2426.77
2020-01-03,2020,1,January,2020-01,LHBP,Budapest - Ferihegy,Hungary,179.0,3134.0
2020-01-03,2020,1,January,2020-01,LICC,Catania,Italy,97.0,1448.0
2020-01-03,2020,1,January,2020-01,LIMC,Milan - Malpensa,Italy,288.0,3646.33
2020-01-03,2020,1,January,2020-01,LIME,Bergamo,Italy,148.0,1123.0
2020-01-03,2020,1,January,2020-01,LIMF,Torino Caselle,Italy,49.0,424.0
2020-01-03,2020,1,January,2020-01,LIML,Milan - Linate,Italy,139.0,487.97
2020-01-03,2020,1,January,2020-01,LIPE,Bologna,Italy,102.0,989.48
2020-01-03,2020,1,January,2020-01,LIPZ,Venice,Italy,116.0,3178.0
2020-01-03,2020,1,January,2020-01,LIRA,Rome - Ciampino,Italy,62.0,476.0
2020-01-03,2020,1,January,2020-01,LIRF,Rome - Fiumicino,Italy,398.0,3295.0
2020-01-03,2020,1,January,2020-01,LIRN,Naples,Italy,108.0,1578.0
2020-01-03,2020,1,January,2020-01,LJLJ,Ljubljana,Slovenia,30.0,501.39
2020-01-03,2020,1,January,2020-01,LKPR,Prague,Czech Republic,197.0,3917.0
2020-01-03,2020,1,January,2020-01,LMML,Malta,Malta,100.0,612.0
2020-01-03,2020,1,January,2020-01,LOWW,Vienna,Austria,365.0,9634.0
2020-01-03,2020,1,January,2020-01,LPFR,Faro,Portugal,47.0,357.0
2020-01-03,2020,1,January,2020-01,LPPR,Porto,Portugal,140.0,3203.34
2020-01-03,2020,1,January,2020-01,LPPT,Lisbon,Portugal,322.0,8083.23
2020-01-03,2020,1,January,2020-01,LROP,Bucharest - Otopeni,Romania,171.0,3599.0
