Economy,Seafarer_Type,Seafarer_Count,World_Share_Percent,Year
Thailand,Officers,6560,0.848,2015
Thailand,Ratings,5894,0.675,2015
Thailand,Total,12454,0.756,2015
Timor-Leste,Officers,0,0.0,2015
Timor-Leste,Ratings,0,0.0,2015
Timor-Leste,Total,0,0.0,2015
Togo,Officers,350,0.045,2015
Togo,Ratings,478,0.055,2015
Togo,Total,828,0.05,2015
Tonga,Officers,178,0.023,2015
Tonga,Ratings,193,0.022,2015
Tonga,Total,371,0.023,2015
Trinidad and Tobago,Officers,686,0.089,2015
Trinidad and Tobago,Ratings,579,0.066,2015
Trinidad and Tobago,Total,1265,0.077,2015
Tunisia,Officers,317,0.041,2015
Tunisia,Ratings,318,0.036,2015
Tunisia,Total,635,0.039,2015
Turkiye,Officers,18568,2.399,2015
Turkiye,Ratings,20417,2.337,2015
Turkiye,Total,38985,2.366,2015
Turkmenistan,Officers,286,0.037,2015
Turkmenistan,Ratings,430,0.049,2015
Turkmenistan,Total,716,0.043,2015
Turks and Caicos Islands,Officers,36,0.005,2015
Turks and Caicos Islands,Ratings,39,0.004,2015
Turks and Caicos Islands,Total,75,0.005,2015
Tuvalu,Officers,242,0.031,2015
Tuvalu,Ratings,773,0.088,2015
Tuvalu,Total,1015,0.062,2015
Uganda,Officers,0,0.0,2015
Uganda,Ratings,0,0.0,2015
Uganda,Total,0,0.0,2015
Ukraine,Officers,39000,5.039,2015
Ukraine,Ratings,30000,3.434,2015
Ukraine,Total,69000,4.188,2015
United Arab Emirates,Officers,0,0.0,2015
United Arab Emirates,Ratings,1083,0.124,2015
United Arab Emirates,Total,1083,0.066,2015
United Kingdom,Officers,11010,1.423,2015
United Kingdom,Ratings,3945,0.452,2015
United Kingdom,Total,14955,0.908,2015
United Kingdom excl. Channel Islands and Isle of Man,Officers,10910,1.41,2015
United Kingdom excl. Channel Islands and Isle of Man,Ratings,3870,0.443,2015
United Kingdom excl. Channel Islands and Isle of Man,Total,14780,0.897,2015
United States of America,Officers,18330,2.368,2015
United States of America,Ratings,14888,1.704,2015
United States of America,Total,33218,2.016,2015
United States of America excluding Puerto Rico and United States Virgin Islands,Officers,18330,2.368,2015
United States of America excluding Puerto Rico and United States Virgin Islands,Ratings,14888,1.704,2015
United States of America excluding Puerto Rico and United States Virgin Islands,Total,33218,2.016,2015
United States of America including Puerto Rico,Officers,18330,2.368,2015
United States of America including Puerto Rico,Ratings,14888,1.704,2015
United States of America including Puerto Rico,Total,33218,2.016,2015
Uruguay,Officers,365,0.047,2015
Uruguay,Ratings,374,0.043,2015
Uruguay,Total,739,0.045,2015
Vanuatu,Officers,266,0.034,2015
Vanuatu,Ratings,520,0.06,2015
Vanuatu,Total,786,0.048,2015
Venezuela (Bolivarian Rep. of),Officers,1372,0.177,2015
Venezuela (Bolivarian Rep. of),Ratings,3363,0.385,2015
Venezuela (Bolivarian Rep. of),Total,4735,0.287,2015
Viet Nam,Officers,19630,2.536,2015
Viet Nam,Ratings,12815,1.467,2015
Viet Nam,Total,32445,1.969,2015
World,Officers,773949,100.0,2015
World,Ratings,873545,100.0,2015
World,Total,1647494,100.0,2015
Yemen,Officers,95,0.012,2015
Yemen,Ratings,91,0.01,2015
Yemen,Total,186,0.011,2015
Albania,Officers,307,0.036,2021
Albania,Ratings,529,0.051,2021
Albania,Total,836,0.044,2021
Algeria,Officers,560,0.065,2021
Algeria,Ratings,874,0.084,2021
Algeria,Total,1434,0.076,2021
Angola,Officers,400,0.047,2021
Angola,Ratings,655,0.063,2021
Angola,Total,1055,0.056,2021
Antigua and Barbuda,Officers,6560,0.765,2021
Antigua and Barbuda,Ratings,9103,0.879,2021
Antigua and Barbuda,Total,15663,0.828,2021
Argentina,Officers,841,0.098,2021
Argentina,Ratings,1381,0.133,2021
Argentina,Total,2222,0.117,2021
Australia,Officers,4779,0.557,2021
Australia,Ratings,2925,0.283,2021
Australia,Total,7704,0.407,2021
Austria,Officers,0,0.0,2021
Austria,Ratings,0,0.0,2021
Austria,Total,0,0.0,2021
Azerbaijan,Officers,693,0.081,2021
Azerbaijan,Ratings,282,0.027,2021
Azerbaijan,Total,975,0.052,2021
Bahamas,Officers,124,0.014,2021
Bahamas,Ratings,0,0.0,2021
Bahamas,Total,124,0.007,2021
Bahrain,Officers,1147,0.134,2021
Bahrain,Ratings,2183,0.211,2021
Bahrain,Total,3330,0.176,2021
Bangladesh,Officers,3746,0.437,2021
Bangladesh,Ratings,1401,0.135,2021
Bangladesh,Total,5147,0.272,2021
Barbados,Officers,1629,0.19,2021
Barbados,Ratings,2317,0.224,2021
Barbados,Total,3946,0.208,2021
Belarus,Officers,0,0.0,2021
Belarus,Ratings,0,0.0,2021
Belarus,Total,0,0.0,2021
Belgium,Officers,3394,0.396,2021
Belgium,Ratings,1586,0.153,2021
Belgium,Total,4980,0.263,2021
Belize,Officers,4427,0.516,2021
Belize,Ratings,6645,0.642,2021
Belize,Total,11072,0.585,2021
Benin,Officers,6,0.001,2021
Benin,Ratings,10,0.001,2021
Benin,Total,16,0.001,2021
Bolivia (Plurinational State of),Officers,0,0.0,2021
Bolivia (Plurinational State of),Ratings,0,0.0,2021
Bolivia (Plurinational State of),Total,0,0.0,2021
Brazil,Officers,11987,1.398,2021
Brazil,Ratings,14644,1.415,2021
Brazil,Total,26631,1.407,2021
Brunei Darussalam,Officers,471,0.055,2021
Brunei Darussalam,Ratings,876,0.085,2021
Brunei Darussalam,Total,1347,0.071,2021
Bulgaria,Officers,14168,1.652,2021
Bulgaria,Ratings,8594,0.83,2021
Bulgaria,Total,22762,1.203,2021
Cabo Verde,Officers,284,0.033,2021
Cabo Verde,Ratings,425,0.041,2021
Cabo Verde,Total,709,0.037,2021
Cambodia,Officers,8053,0.939,2021
Cambodia,Ratings,12004,1.16,2021
Cambodia,Total,20057,1.06,2021
Cameroon,Officers,883,0.103,2021
Cameroon,Ratings,1310,0.127,2021
Cameroon,Total,2193,0.116,2021
Canada,Officers,4168,0.486,2021
Canada,Ratings,7484,0.723,2021
Canada,Total,11652,0.616,2021
Chile,Officers,3922,0.457,2021
Chile,Ratings,3095,0.299,2021
Chile,Total,7017,0.371,2021
China,Officers,69364,8.089,2021
China,Ratings,64930,6.272,2021
China,Total,134294,7.095,2021
"China, Hong Kong SAR",Officers,757,0.088,2021
"China, Hong Kong SAR",Ratings,67,0.006,2021
"China, Hong Kong SAR",Total,824,0.044,2021
"China, Taiwan Province of",Officers,3147,0.367,2021
"China, Taiwan Province of",Ratings,5121,0.495,2021
"China, Taiwan Province of",Total,8268,0.437,2021
Colombia,Officers,1161,0.135,2021
Colombia,Ratings,1900,0.184,2021
Colombia,Total,3061,0.162,2021
Comoros,Officers,1678,0.196,2021
Comoros,Ratings,2511,0.243,2021
Comoros,Total,4189,0.221,2021
Congo,Officers,12,0.001,2021
Congo,Ratings,20,0.002,2021
Congo,Total,32,0.002,2021
"Congo, Dem. Rep. of the",Officers,52,0.006,2021
"Congo, Dem. Rep. of the",Ratings,70,0.007,2021
"Congo, Dem. Rep. of the",Total,122,0.006,2021
Cook Islands,Officers,718,0.084,2021
Cook Islands,Ratings,1144,0.111,2021
Cook Islands,Total,1862,0.098,2021
Costa Rica,Officers,64,0.007,2021
Costa Rica,Ratings,102,0.01,2021
Costa Rica,Total,166,0.009,2021
Cote d'Ivoire,Officers,40,0.005,2021
Cote d'Ivoire,Ratings,58,0.006,2021
Cote d'Ivoire,Total,98,0.005,2021
Croatia,Officers,14291,1.667,2021
Croatia,Ratings,6204,0.599,2021
Croatia,Total,20495,1.083,2021
Cuba,Officers,2263,0.264,2021
Cuba,Ratings,3093,0.299,2021
Cuba,Total,5356,0.283,2021
Cyprus,Officers,2883,0.336,2021
Cyprus,Ratings,43,0.004,2021
Cyprus,Total,2926,0.155,2021
Czechia,Officers,38,0.004,2021
Czechia,Ratings,0,0.0,2021
Czechia,Total,38,0.002,2021
Denmark,Officers,7341,0.856,2021
Denmark,Ratings,18818,1.818,2021
Denmark,Total,26159,1.382,2021
Djibouti,Officers,226,0.026,2021
Djibouti,Ratings,360,0.035,2021
Djibouti,Total,586,0.031,2021
Dominica,Officers,456,0.053,2021
Dominica,Ratings,712,0.069,2021
Dominica,Total,1168,0.062,2021
Dominican Republic,Officers,76,0.009,2021
Dominican Republic,Ratings,116,0.011,2021
Dominican Republic,Total,192,0.01,2021
Ecuador,Officers,2820,0.329,2021
Ecuador,Ratings,6122,0.591,2021
Ecuador,Total,8942,0.472,2021
Egypt,Officers,2549,0.297,2021
