Economy_Label,SeafarerType_Label,Percentage_of_total_world_Value,Percentage_of_total_world_Footnote,Percentage_of_total_world_MissingValue,Absolute_value_Value,Absolute_value_Footnote,Absolute_value_MissingValue
"Mauritania","Total",0.004,,,62,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Mauritius","Officers",0.013,,,98,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Mauritius","Ratings",0.076,,,665,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Mauritius","Total",0.046,,,763,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Mexico","Officers",0.588,,,4552,,
"Mexico","Ratings",0.162,,,1419,,
"Mexico","Total",0.362,,,5971,,
"Micronesia (Federated States of)","Officers",0.021,,,163,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Micronesia (Federated States of)","Ratings",0.022,,,193,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Micronesia (Federated States of)","Total",0.022,,,356,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Moldova, Republic of","Officers",0.108,,,832,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Moldova, Republic of","Ratings",0.201,,,1758,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Moldova, Republic of","Total",0.157,,,2590,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Mongolia","Officers",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Mongolia","Ratings",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Mongolia","Total",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Montenegro","Officers",0.014,,,110,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Montenegro","Ratings",0.013,,,116,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Montenegro","Total",0.014,,,226,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Morocco","Officers",0.138,,,1069,,
"Morocco","Ratings",0.803,,,7012,,
"Morocco","Total",0.491,,,8081,,
"Mozambique","Officers",0.011,,,85,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Mozambique","Ratings",0.011,,,94,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Mozambique","Total",0.011,,,179,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Myanmar","Officers",1.451,,,11230,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Myanmar","Ratings",1.696,,,14811,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Myanmar","Total",1.581,,,26041,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Namibia","Officers",0.003,,,26,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Namibia","Ratings",0.003,,,22,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Namibia","Total",0.003,,,48,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Netherlands (Kingdom of the)","Officers",0.608,,,4708,,
"Netherlands (Kingdom of the)","Ratings",0.04,,,348,,
"Netherlands (Kingdom of the)","Total",0.307,,,5056,,
"New Caledonia","Officers",0,,,0,"Seafarer demand is assumed by BIMCO/ICS to be met by foreign seafarers",
"New Caledonia","Ratings",0,,,0,"Seafarer demand is assumed by BIMCO/ICS to be met by foreign seafarers",
"New Caledonia","Total",0,,,0,"Seafarer demand is assumed by BIMCO/ICS to be met by foreign seafarers",
"New Zealand","Officers",0.067,,,517,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"New Zealand","Ratings",0.071,,,620,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"New Zealand","Total",0.069,,,1137,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Nicaragua","Officers",0.003,,,24,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Nicaragua","Ratings",0.003,,,26,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Nicaragua","Total",0.003,,,50,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Nigeria","Officers",0.258,,,1998,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Nigeria","Ratings",0.431,,,3762,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Nigeria","Total",0.35,,,5760,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Niue","Officers",0,,,0,"Seafarer demand is assumed by BIMCO/ICS to be met by foreign seafarers",
"Niue","Ratings",0.025,,,215,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Niue","Total",0.013,,,215,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Norway","Officers",1.908,,,14768,,
"Norway","Ratings",2.167,,,18933,,
"Norway","Total",2.046,,,33701,,
"Oman","Officers",0.012,,,91,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Oman","Ratings",0.046,,,404,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Oman","Total",0.03,,,495,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Pakistan","Officers",0.367,,,2841,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Pakistan","Ratings",1.068,,,9327,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Pakistan","Total",0.739,,,12168,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Palau","Officers",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Palau","Ratings",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Palau","Total",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Panama","Officers",1.812,,,14022,,
"Panama","Ratings",1.273,,,11119,,
"Panama","Total",1.526,,,25141,,
"Papua New Guinea","Officers",0.072,,,561,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Papua New Guinea","Ratings",0.072,,,626,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Papua New Guinea","Total",0.072,,,1187,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Paraguay","Officers",0.053,,,414,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Paraguay","Ratings",0.051,,,449,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Paraguay","Total",0.052,,,863,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Peru","Officers",0.144,,,1113,,
"Peru","Ratings",0.196,,,1711,,
"Peru","Total",0.171,,,2824,,
"Philippines","Officers",9.368,,,72500,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Philippines","Ratings",16.37,,,143000,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Philippines","Total",13.08,,,215500,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Poland","Officers",3.306,,,25586,,
"Poland","Ratings",0.756,,,6603,,
"Poland","Total",1.954,,,32189,,
"Portugal","Officers",0.11,,,851,,
"Portugal","Ratings",0.068,,,590,,
"Portugal","Total",0.087,,,1441,,
"Qatar","Officers",0,,,0,"Seafarer demand is assumed by BIMCO/ICS to be met by foreign seafarers",
"Qatar","Ratings",0.084,,,730,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Qatar","Total",0.044,,,730,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Romania","Officers",1.421,,,11000,,
"Romania","Ratings",0.572,,,5000,,
"Romania","Total",0.971,,,16000,,
"Russian Federation","Officers",6.198,,,47972,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Russian Federation","Ratings",5.62,,,49089,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Russian Federation","Total",5.891,,,97061,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Saint Helena","Officers",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Saint Helena","Ratings",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Saint Helena","Total",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Saint Kitts and Nevis","Officers",0,,,0,"Seafarer demand is assumed by BIMCO/ICS to be met by foreign seafarers",
"Saint Kitts and Nevis","Ratings",0.216,,,1889,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Saint Kitts and Nevis","Total",0.115,,,1889,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Saint Vincent and the Grenadines","Officers",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Saint Vincent and the Grenadines","Ratings",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Saint Vincent and the Grenadines","Total",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Samoa","Officers",0.013,,,100,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Samoa","Ratings",0.013,,,113,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Samoa","Total",0.013,,,213,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sao Tome and Principe","Officers",0.027,,,209,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sao Tome and Principe","Ratings",0.025,,,222,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sao Tome and Principe","Total",0.026,,,431,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Saudi Arabia","Officers",0,,,0,"Seafarer demand is assumed by BIMCO/ICS to be met by foreign seafarers",
"Saudi Arabia","Ratings",0,,,0,"Seafarer demand is assumed by BIMCO/ICS to be met by foreign seafarers",
"Saudi Arabia","Total",0,,,0,"Seafarer demand is assumed by BIMCO/ICS to be met by foreign seafarers",
"Senegal","Officers",0.016,,,123,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Senegal","Ratings",0.016,,,143,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Senegal","Total",0.016,,,266,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Seychelles","Officers",0.009,,,68,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Seychelles","Ratings",0.015,,,134,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Seychelles","Total",0.012,,,202,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sierra Leone","Officers",0.201,,,1552,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sierra Leone","Ratings",0.348,,,3042,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sierra Leone","Total",0.279,,,4594,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Singapore","Officers",0.907,,,7023,"Estimated based on seafarer supply or demand and adjusted by BIMCO/ICS",
"Singapore","Ratings",0.132,,,1150,"Estimated based on seafarer supply or demand and adjusted by BIMCO/ICS",
"Singapore","Total",0.496,,,8173,"Estimated based on seafarer supply or demand and adjusted by BIMCO/ICS",
"Slovakia","Officers",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Slovakia","Ratings",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Slovakia","Total",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Slovenia","Officers",0.07,,,544,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Slovenia","Ratings",0.011,,,100,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Slovenia","Total",0.039,,,644,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Solomon Islands","Officers",0.027,,,208,,
"Solomon Islands","Ratings",0.148,,,1294,,
"Solomon Islands","Total",0.091,,,1502,,
"Somalia","Officers",0.007,,,51,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Somalia","Ratings",0.006,,,56,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Somalia","Total",0.006,,,107,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"South Africa","Officers",0.257,,,1986,,
"South Africa","Ratings",0.12,,,1044,,
"South Africa","Total",0.184,,,3030,,
"Spain","Officers",0.2,,,1546,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Spain","Ratings",0.096,,,842,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Spain","Total",0.145,,,2388,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sri Lanka","Officers",0.295,,,2282,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Sri Lanka","Ratings",2.234,,,19511,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Sri Lanka","Total",1.323,,,21793,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Sudan","Officers",0.006,,,45,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sudan","Ratings",0.005,,,44,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sudan","Total",0.005,,,89,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Suriname","Officers",0.007,,,52,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Suriname","Ratings",0.005,,,46,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Suriname","Total",0.006,,,98,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sweden","Officers",0.551,,,4266,"Estimated based on seafarer supply or demand and adjusted by BIMCO/ICS",
"Sweden","Ratings",0.455,,,3972,"Estimated based on seafarer supply or demand and adjusted by BIMCO/ICS",
"Sweden","Total",0.5,,,8238,"Estimated based on seafarer supply or demand and adjusted by BIMCO/ICS",
"Switzerland, Liechtenstein","Officers",0.001,,,4,,
"Switzerland, Liechtenstein","Ratings",0,,,2,,
"Switzerland, Liechtenstein","Total",0,,,6,,
"Switzerland","Officers",0.001,,,4,,
"Switzerland","Ratings",0,,,2,,
"Switzerland","Total",0,,,6,,
"Syrian Arab Republic","Officers",0.012,,,92,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Syrian Arab Republic","Ratings",0.011,,,96,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Syrian Arab Republic","Total",0.011,,,188,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tanzania, United Republic of","Officers",0.044,,,339,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tanzania, United Republic of","Ratings",0.19,,,1659,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tanzania, United Republic of","Total",0.121,,,1998,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Thailand","Officers",0.848,,,6560,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Thailand","Ratings",0.675,,,5894,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Thailand","Total",0.756,,,12454,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Timor-Leste","Officers",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Timor-Leste","Ratings",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Timor-Leste","Total",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Togo","Officers",0.045,,,350,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Togo","Ratings",0.055,,,478,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Togo","Total",0.05,,,828,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Tonga","Officers",0.023,,,178,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tonga","Ratings",0.022,,,193,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tonga","Total",0.023,,,371,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Trinidad and Tobago","Officers",0.089,,,686,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Trinidad and Tobago","Ratings",0.066,,,579,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Trinidad and Tobago","Total",0.077,,,1265,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tunisia","Officers",0.041,,,317,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tunisia","Ratings",0.036,,,318,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tunisia","Total",0.039,,,635,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Turkiye","Officers",2.399,,,18568,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Turkiye","Ratings",2.337,,,20417,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Turkiye","Total",2.366,,,38985,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Turkmenistan","Officers",0.037,,,286,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Turkmenistan","Ratings",0.049,,,430,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Turkmenistan","Total",0.043,,,716,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Turks and Caicos Islands","Officers",0.005,,,36,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Turks and Caicos Islands","Ratings",0.004,,,39,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Turks and Caicos Islands","Total",0.005,,,75,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Tuvalu","Officers",0.031,,,242,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tuvalu","Ratings",0.088,,,773,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tuvalu","Total",0.062,,,1015,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Uganda","Officers",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Uganda","Ratings",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Uganda","Total",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Ukraine","Officers",5.039,,,39000,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Ukraine","Ratings",3.434,,,30000,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Ukraine","Total",4.188,,,69000,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"United Arab Emirates","Officers",0,,,0,"Seafarer demand is assumed by BIMCO/ICS to be met by foreign seafarers",
"United Arab Emirates","Ratings",0.124,,,1083,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"United Arab Emirates","Total",0.066,,,1083,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"United Kingdom","Officers",1.423,,,11010,,
"United Kingdom","Ratings",0.452,,,3945,,
"United Kingdom","Total",0.908,,,14955,,
"Channel Islands","Officers",0,,,0,"Seafarer demand is assumed by BIMCO/ICS to be met by foreign seafarers",
"Channel Islands","Ratings",0,,,0,"Seafarer demand is assumed by BIMCO/ICS to be met by foreign seafarers",
"Channel Islands","Total",0,,,0,"Seafarer demand is assumed by BIMCO/ICS to be met by foreign seafarers",
"Isle of Man","Officers",0.013,,,100,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Isle of Man","Ratings",0.009,,,75,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Isle of Man","Total",0.011,,,175,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"United Kingdom excl. Channel Islands and Isle of Man","Officers",1.41,,,10910,,
"United Kingdom excl. Channel Islands and Isle of Man","Ratings",0.443,,,3870,,
"United Kingdom excl. Channel Islands and Isle of Man","Total",0.897,,,14780,,
"United States of America","Officers",2.368,,,18330,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"United States of America","Ratings",1.704,,,14888,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"United States of America","Total",2.016,,,33218,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"United States of America including Puerto Rico","Officers",2.368,,,18330,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"United States of America including Puerto Rico","Ratings",1.704,,,14888,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"United States of America including Puerto Rico","Total",2.016,,,33218,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"United States of America excluding Puerto Rico and United States Virgin Islands","Officers",2.368,,,18330,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"United States of America excluding Puerto Rico and United States Virgin Islands","Ratings",1.704,,,14888,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"United States of America excluding Puerto Rico and United States Virgin Islands","Total",2.016,,,33218,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Uruguay","Officers",0.047,,,365,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Uruguay","Ratings",0.043,,,374,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Uruguay","Total",0.045,,,739,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Vanuatu","Officers",0.034,,,266,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Vanuatu","Ratings",0.06,,,520,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Vanuatu","Total",0.048,,,786,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Venezuela (Bolivarian Rep. of)","Officers",0.177,,,1372,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Venezuela (Bolivarian Rep. of)","Ratings",0.385,,,3363,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Venezuela (Bolivarian Rep. of)","Total",0.287,,,4735,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Viet Nam","Officers",2.536,,,19630,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Viet Nam","Ratings",1.467,,,12815,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Viet Nam","Total",1.969,,,32445,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Yemen","Officers",0.012,,,95,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Yemen","Ratings",0.01,,,91,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Yemen","Total",0.011,,,186,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
